community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0206,122,115,62,50,0.7143,dpi,0.9697,0.0164,0.7049,Implementation Arrangements and Support Plan,0.3411,0.2528,0.8031,REF045,0.3317,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0554,122,106,59,41,0.5857,access_connectivity,0.7069,0.0,0.5,Implementation Arrangements and Support Plan,0.2728,0.3023,0.6751,REF045,0.3844,shortlist,,20260918T0131-7dd1a33,discover-1
c0168,121,110,58,54,0.7714,access_connectivity,0.7677,0.0,0.9421,KEY RISKS,0.2945,0.4489,0.7413,REF030,0.4001,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0800,121,94,65,50,0.7143,dpi,0.5847,0.0248,0.314,Sectoral and Institutional Context,0.3065,0.2196,0.6884,REF086,0.4873,shortlist,,20260918T0131-7dd1a33,discover-1
c0802,121,88,54,53,0.7571,access_connectivity,0.6564,0.0,0.1653,Rationale for Bank Involvement and Role of Partners,0.2729,0.252,0.738,REF053,0.4678,shortlist,,20260918T0131-7dd1a33,discover-1
c0417,120,87,45,47,0.6714,dpi,0.7312,0.1167,0.4,Project Components,0.2097,0.2893,0.6805,REF021,0.5269,shortlist,,20260918T0131-7dd1a33,discover-1
c0789,120,79,45,42,0.6,mobile_towers,0.6099,0.0,0.1,Sectoral and Institutional Context,0.217,0.1944,0.7041,REF087,0.4253,shortlist,,20260918T0131-7dd1a33,discover-1
c0616,119,105,51,45,0.6429,dpi,0.6408,0.0,0.4706,Implementation Arrangements and Support Plan,0.216,0.2966,0.6184,REF002,0.4594,shortlist,,20260918T0131-7dd1a33,discover-1
c0765,119,89,45,42,0.6,dpi,0.6226,0.0168,0.0252,"Technical, Economic and Financial Analysis",0.2226,0.2395,0.7222,REF005,0.4247,shortlist,,20260918T0131-7dd1a33,discover-1
c0176,118,106,56,45,0.6429,cybersecurity,0.7495,0.3051,0.1525,Project Components,0.2748,0.3517,0.7165,REF081,0.5629,shortlist,,20260918T0131-7dd1a33,discover-1
